city_name,district_name,commune_name
Kampot,Tuek Chhou,Kaoh Touch
Kratie,Kracheh,Kaoh Trong
Tboung Khmum,Ponhea Kraek,Kaong Kang
Battambang,Koas Krala,Kaos Krala
Kampong Speu,Basedth,Kat Phluk
Kratie,Sambour,Kbal Damrei
Phnom Penh,Chbar Ampov,Kbal Kaoh
Stung Treng,Sesan,Kbal Romeas
Pursat,Krakor,Kbal Trach
Kampong Chhnang,Tuek Phos,Kbal Tuek
Takeo,Prey Kabbas,Kdanh
Kampong Thom,Kampong Svay,Kdei Doung
Siemreap,Puok,Kdei Run
Prey Veng,Kanhchriech,Kdoeang Reay
Battambang,Battambang,Kdol Doun Teav
Battambang,Bavel,Kdol Ta Haen
Battambang,Moung Ruessei,Kear
Ratanak Kiri,Bar Kaev,Keh Chong
Siemreap,Soutr Nikom,Khchas
Kampong Cham,Kang Meas,Khchau
Kampot,Dang Tong,Khcheay Khang Cheung
Kampot,Dang Tong,Khcheay Khang Tboung
Battambang,Bavel,Khlaeng Meas
Kampong Chhnang,Tuek Phos,Khlong Popok
Phnom Penh,Saensokh,Khmuonh
Battambang,Bavel,Khnach Romeas
Siemreap,Svay Leu,Khnang Phnum
Kampong Chhnang,Sameakki Mean Chey,Khnar Chhmar
Siemreap,Soutr Nikom,Khnar Pou
Kampong Cham,Srei Santhor,Khnar Sa
Siemreap,Banteay Srei,Khnar Sanday
Pursat,Bakan,Khnar Totueng
Siemreap,Puok,Khnat
Kampong Cham,Cheung Prey,Khnor Dambang
Kampong Chhnang,Baribour,Khon Rang
Kandal,S'ang,Khpob
Kandal,Leuk Daek,Khpob Ateav
Kampong Cham,Stueng Trang,Khpob Ta Nguon
Kratie,Chhloung,Khsach Andeth
Svay Rieng,Kampong Rou,Khsaetr
Kampong Chhnang,Kampong Chhnang,Khsam
Kampong Speu,Odongk,Khsem Khsant
Kratie,Snuol,Khsuem
Kampong Speu,Samraong Tong,Khtum Krang
Siemreap,Banteay Srei,Khun Ream
Siemreap,Chi Kraeng,Khvav
Takeo,Samraong,Khvav
Takeo,Treang,Khvav
Kampong Cham,Prey Chhor,Khvet Thum
Preah Vihear,Chey Saen,Khyang
Kampong Cham,Kampong Siem,Kien Chrey
Siemreap,Soutr Nikom,Kien Sangkae
Phnom Penh,Russey Keo,Kilomaetr Lekh Prammuoy
Takeo,Kiri Vong,Kiri Chong Kaoh
Kampong Speu,Phnum Sruoch,Kiri Voan
Kampong Thom,Sandan,Klaeng
Siemreap,Srei Snam,Klang Hay
Kratie,Prek Prasab,Koh Ta Suy
Siemreap,Siem Reap,Kok Chak
Ratanak Kiri,Veun Sai,Kok Lak
Svay Rieng,Svay Teab,Koki Saom
Kandal,Kien Svay,Kokir
Svay Rieng,Romeas Haek,Kokir
Tboung Khmum,Memot,Kokir
Kampong Thom,Baray,Kokir Thum
Kandal,Kien Svay,Kokir Thum
Kampong Cham,Kampong Siem,Kokor
Takeo,Bati,Komar Reachea
Tboung Khmum,Ou Reang Ov,Kong Chey
Phnom Penh,Dangkao,Kong Noy
Kampong Cham,Prey Chhor,Kor
Tboung Khmum,Tboung Khmum,Kor
Prey Veng,Kampong Trabaek,Kou Khchak
Kratie,Chetr Borei,Kou Loab
Banteay Meanchey,Ou Chrov,Koub
Banteay Meanchey,Mongkol Borei,Kouk Ballangk
Kampong Chhnang,Rolea B'ier,Kouk Banteay
Siemreap,Angkor Chum,Kouk Doung
Banteay Meanchey,Thma Puok,Kouk Kakthen
Battambang,Thma Koul,Kouk Khmum
Oddar Meanchey,Banteay Ampil,Kouk Khpos
Prey Veng,Kanhchriech,Kouk Kong Kaeut
Prey Veng,Kanhchriech,Kouk Kong Lech
Oddar Meanchey,Banteay Ampil,Kouk Mon
Takeo,Borei Cholsar,Kouk Pou
Takeo,Kiri Vong,Kouk Prech
Svay Rieng,Svay Chrum,Kouk Pring
Phnom Penh,Praek Pnov,Kouk Roka
Banteay Meanchey,Thma Puok,Kouk Romiet
Kampong Cham,Cheung Prey,Kouk Rovieng
Tboung Khmum,Dambae,Kouk Srok
Takeo,Angkor Borei,Kouk Thlok
Siemreap,Chi Kraeng,Kouk Thlok Kraom
Siemreap,Chi Kraeng,Kouk Thlok Leu
Kandal,Kandal Stueng,Kouk Trab
Kampong Thom,Prasat Sambour,Koul
Siemreap,Angkor Chum,Koul
Oddar Meanchey,Samraong,Koun Kriel
Kampot,Tuek Chhou,Koun Satv
Banteay Meanchey,Mongkol Borei,Koy Maeng
Svay Rieng,Svay Rieng,Koy Trabaek
Prey Veng,Kamchay Mear,Krabau
Siemreap,Siem Reap,Krabei Riel
Kratie,Kracheh,Kracheh
Tboung Khmum,Ponhea Kraek,Kraek
Kratie,Kracheh,Krakor
Kampong Cham,Kampong Siem,Krala
Siemreap,Kralanh,Kralanh
Kampong Speu,Samraong Tong,Krang Ampil
Kampot,Kampot,Krang Ampil
Kampong Speu,Odongk,Krang Chek
Kampong Speu,Phnum Sruoch,Krang Dei Vay
Kampong Chhnang,Rolea B'ier,Krang Leav
Takeo,Bati,Krang Leav
Kampong Chhnang,Sameakki Mean Chey,Krang Lvea
Kandal,Angk Snuol,Krang Mkak
Phnom Penh,Dangkao,Krang Pongro
Kampot,Chhuk,Krang Sbov
Kampong Chhnang,Tuek Phos,Krang Skear
Kampot,Chhuk,Krang Snay
Prey Veng,Preah Sdach,Krang Svay
Prey Veng,Peam Chor,Krang Ta Yang
